VideoID,PrimaryDecision,SecondaryDecision,FinalDecision
V_705,No,No,No
NV_157,Yes,N/A,Yes
V_537,No,No,No
NV_46,Yes,N/A,Yes
V_426,Yes,N/A,Yes
V_916,Yes,N/A,Yes
V_233,Yes,N/A,Yes
NV_101,No,No,No
V_509,Yes,N/A,Yes
V_780,Yes,N/A,Yes
V_527,Yes,N/A,Yes
NV_556,Yes,N/A,Yes
V_981,Yes,N/A,Yes
V_789,Yes,N/A,Yes
NV_4,No,No,No
V_640,Yes,N/A,Yes
NV_126,No,No,No
NV_980,No,No,No
V_597,Yes,N/A,Yes
NV_596,No,No,No
NV_945,No,No,No
NV_131,No,No,No
NV_721,No,No,No
V_66,Yes,N/A,Yes
NV_494,No,No,No
V_847,Yes,N/A,Yes
V_398,Yes,N/A,Yes
V_263,Yes,N/A,Yes
NV_221,Yes,N/A,Yes
V_698,No,No,No
V_333,Yes,N/A,Yes
NV_59,No,No,No
V_260,Yes,N/A,Yes
NV_104,No,No,No
NV_171,No,No,No
V_817,Yes,N/A,Yes
NV_758,Yes,N/A,Yes
V_621,No,No,No
V_562,Yes,N/A,Yes
V_427,Yes,N/A,Yes
NV_352,No,No,No
NV_518,Yes,N/A,Yes
NV_532,Yes,N/A,Yes
NV_519,Yes,N/A,Yes
NV_263,No,No,No
V_551,Yes,N/A,Yes
V_610,No,No,No
V_162,Yes,N/A,Yes
V_36,Yes,N/A,Yes
VideoID,PrimaryDecision,SecondaryDecision,FinalDecision,ViolentCaption,TextOnlyResponse
V_705,Yes,N/A,Yes,"based on the image, it appears to be a sports event, likely a football game, with two players in the foreground. one player is standing upright, while the other is lying on the ground, holding a white object that could be a football. the player on the ground seems to be in a vulnerable position, with his arms and legs outstretched. given the context of a sports event, it's possible that the player on the ground is injured or has been tackled by the standing player. however, without more information or context, it's difficult to determine the exact nature of the situation. it's worth noting that the image is blurry, which makes it challenging to discern specific details. therefore, i cannot confirm with certainty whether the scene is violent or peaceful. if you have any additional information or context about the image, i may be able to provide a more accurate assessment.",N/A
NV_157,No,yes,Yes,N/A,cutting knowledge date: december 2023 today date: 10 may 2025  no.
V_537,No,yes,Yes,N/A,cutting knowledge date: december 2023 today date: 10 may 2025  yes.
NV_46,Yes,N/A,Yes,"yes, there is violence depicted in this image. the image shows two soccer players on a field, with one player kicking the other player in the stomach. the player who is being kicked is wearing a blue jersey with the number 30 on it, and the player who is kicking him is wearing a red jersey. the scene appears to be intense and aggressive, with the player who is being kicked looking like he is in pain. the image is blurry, but it is clear that the player who is kicking is using his foot to make contact with the other player's stomach. this action is considered violent and aggressive, as it involves physical harm to another person.",N/A
V_426,Yes,N/A,Yes,"yes, violence is depicted in this image. a man appears to be assaulting a woman, who is barefoot and wearing a red dress. the man is wearing dark pants and a white shirt, and he is standing over the woman, who is on the ground. the scene is violent and aggressive, with the man's actions indicating a physical attack on the woman.",N/A
V_916,Yes,N/A,Yes,"**yes, violence is depicted in this image.** **what is happening in this image?** a woman is being physically assaulted by another woman. the aggressor is using her arm to strike the victim's head, causing her to bend forward and fall to the ground. the victim is wearing a pink jacket and has her hands up in a defensive position. **who is involved?** the two women are the main individuals involved in the incident. the aggressor is wearing a gray shirt and black pants, while the victim is wearing a pink jacket and black pants. **is there a violent or aggressive action?** yes, the aggressor is using physical force to strike the victim's head, which is a form of violence. **is the scene peaceful or non-violent?** no, the scene is violent and aggressive, as the aggressor is using physical force to harm the victim.",N/A
V_233,Yes,N/A,Yes,"yes, violence is depicted in this image. two men are shown in a physical altercation, with one man wearing a blue bathing suit and the other wearing dark pants. the man in the blue bathing suit is lunging at the other man, who is standing with his arms raised in defense. the scene appears to be taking place on a sidewalk or street, with trees and benches visible in the background. the image is blurry and pixelated, making it difficult to discern further details.",N/A
NV_101,No,yes,Yes,N/A,cutting knowledge date: december 2023 today date: 10 may 2025  yes.
V_509,Yes,N/A,Yes,"**summary:** a physical altercation unfolds in a crowded marketplace, with two men engaged in a fight. **detailed description:** in the foreground, three large baskets filled with green beans are prominently displayed. behind them, a man in a black shirt and blue pants is shown in a fighting stance, with his right arm extended and his left arm bent. another man, wearing a green shirt and dark pants, is positioned in front of him, with his arms outstretched and his fists clenched. the surrounding environment is filled with other people, boxes, and crates, creating a chaotic atmosphere. the image captures a moment of conflict and aggression in a public setting.",N/A
V_780,Yes,N/A,Yes,"yes, this image depicts a violent scene. the image shows a person wearing a red shirt and white pants, with their back to the camera, and their arms raised in a defensive position. the person appears to be being attacked or threatened by another individual, who is not visible in the frame but is likely the aggressor. the scene is chaotic and tense, with the person in the red shirt appearing to be in a state of distress or fear. the image is blurry and pixelated, which may be due to the low quality of the original video footage or the fact that it has been heavily compressed for use in a public dataset. overall, the image conveys a sense of danger and aggression, and suggests that the person in the red shirt is in a precarious situation.",N/A
V_527,Yes,N/A,Yes,"yes, there is violence depicted in this image. it appears to be a still from a video of a basketball game, showing a man in a green jersey with the number 42 on it, and the word ""celtics"" on the back of his jersey, being restrained by several other men, possibly teammates or security personnel, while he is yelling and gesturing aggressively. another man in a white shirt is also visible in the background, looking on in concern. the image suggests that a physical altercation has occurred, and the man in the green jersey is being held back to prevent further conflict.",N/A
VideoID,PrimaryDecision,SecondaryDecision,FinalDecision,ViolentCaption,TextOnlyResponse
V_705,Yes,N/A,Yes,"the image shows a scene from a sports event, specifically an australian rules football match, where two players are engaged in a physical altercation. the player on the left, wearing a blue uniform, is being grabbed by the player on the right, who is wearing a red uniform. the player in red is holding onto the player in blue's arm, while the player in blue is attempting to push the player in red away. in the background, there are spectators watching the game, and a large screen displaying advertisements is visible. the atmosphere appears to be tense, with the two players in the foreground showing signs of aggression and conflict. the presence of the crowd and the advertising screen suggests that this is a public event, likely taking place in a stadium or arena. overall, the image conveys a sense of intensity and competition, with the two players in the foreground engaged in a heated exchange.",N/A
